ELCCC17,ELCCOA17,ELCPVN17,ELCTECOA,ELCTEGEO,ELCTEHYD,ELCTELNG,ELCTENUC,ELCTEOIL,ELCTEPVS,ELCTEWND,ELCWON17,LNGCCS22,PEMFC22,,
,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2013
,,,,,,,,,,,,,,,
0,0,0,284700,2428.272,86724,431831.002,0,74582.64,95.3964,34.6896,0,0,0,,2014
,,,,,,,,,,,,,,,
0,0,0,315360,2428.272,91060.2,390964.2764,0,59839.56,104.0688,69.3792,0,0,0,,2015
,,,,,,,,,,,,,,,
0,0,0,310980,2428.272,84989.52,407340,13264.672,41627.52,6591.024,5029.992,0,0,0,,
,,,,,,,,,,,,,,,
0,0,0,310980,2452.8,84989.52,399675,22020.507,39893.04,6657.6,5080.8,0,0,0,,
,,,,,,,,,,,,,,,
20148,15111,0,310980,2452.8,84989.52,392010,32979.43334,33388.74,6657.6,5080.8,0,0,0,,
,,,,,,,,,,,,,,,
34952.4,23488.30603,0,310980,2428.272,84989.52,384300.5957,40438.35,27318.06,6591.024,5029.992,0,0,0,,
,,,,,,,,,,,,,,,
54198.12,23488.30603,0,310980,2452.8,84989.52,376680,51027,21681,6657.6,5080.8,0,0,0,,
,,,,,,,,,,,,,,,
79217.556,23488.30603,0,295431,2452.8,84989.52,357846,82899.55034,16477.56,6324.72,4826.76,0,0,0,,
,,,,,,,,,,,,,,,
111742.8228,21922.41896,0,103906.1925,2428.272,84989.52,88990.65,50304.3,11707.74,5931.9216,4526.9928,0,0,0,,
,,,,,,,,,,,,,,,
154025.6696,23488.30603,0,65422.4175,2428.272,84989.52,56031.15,49942.95,7371.54,5602.3704,4275.4932,0,533813.3363,0,,
,,,,,,,,,,,,,,,
208993.3705,23488.30603,0,40466.22924,2428.272,84989.52,26367.6,49581.6,3468.96,5272.8192,4023.9936,0,555028.9808,0,,
,,,,,,,,,,,,,,,
280451.3817,23488.30603,0,16505.80522,2428.272,84989.52,0,49220.25,0,4943.268,3772.494,0,555028.9808,0,,
,,,,,,,,,,,,,,,
314618.2141,23488.30603,0,0,2428.272,84989.52,0,48858.9,0,4613.7168,3520.9944,0,555028.9808,0,,
,,,,,,,,,,,,,,,
338849.2412,16918.30603,0,0,2428.272,84989.52,0,48497.55,0,4284.1656,3269.4948,0,555028.9808,0,,
,,,,,,,,,,,,,,,
365051.2683,8377.306025,0,0,2428.272,84989.52,0,48136.2,0,3954.6144,3017.9952,0,555028.9808,0,,
,,,,,,,,,,,,,,,
391089.6015,0,0,0,2428.272,84989.52,0,47774.85,0,3625.0632,2766.4956,0,555028.9808,0,,
,,,,,,,,,,,,,,,
408750.6286,0,0,0,2428.272,84989.52,0,47413.5,0,3295.512,2514.996,0,555028.9808,0,,
,,,,,,,,,,,,,,,
421852.1592,0,0,0,2428.272,84989.52,0,47052.15,0,2965.9608,2263.4964,0,555028.9808,0,,
,,,,,,,,,,,,,,,
434953.6897,0,0,0,2428.272,84989.52,0,46690.8,0,2636.4096,2011.9968,0,555028.9808,0,,
,,,,,,,,,,,,,,,
448055.2202,0,0,0,2428.272,84989.52,0,46329.45,0,2306.8584,1760.4972,0,555028.9808,0,,
,,,,,,,,,,,,,,,
461156.7507,0,0,0,2428.272,84989.52,0,45968.1,0,1977.3072,1508.9976,0,555028.9808,0,,
,,,,,,,,,,,,,,,
474258.2812,0,0,0,2428.272,84989.52,0,45606.75,0,1647.756,1257.498,0,555028.9808,0,,
,,,,,,,,,,,,,,,
487359.8117,0,0,0,2428.272,84989.52,0,45245.4,0,1318.2048,1005.9984,0,555028.9808,0,,
,,,,,,,,,,,,,,,
500461.3422,0,0,0,2428.272,84989.52,0,44884.05,0,988.6536,754.4988,0,555028.9808,0,,
,,,,,,,,,,,,,,,
513562.8728,0,0,0,2428.272,84989.52,0,44522.7,0,659.1024,502.9992,0,555028.9808,0,,
,,,,,,,,,,,,,,,
526664.4033,0,0,0,2428.272,84989.52,0,44161.35,0,329.5512,251.4996,0,555028.9808,0,,
,,,,,,,,,,,,,,,
534497.3851,0,0,0,2428.272,84989.52,0,43800,0,0,0,0,553749.3311,0,,
,,,,,,,,,,,,,,,
538384.8939,0,4547.474553,0,2428.272,84989.52,0,42924,0,0,0,0,548949.0645,14416.16956,,
,,,,,,,,,,,,,,,
544905.1728,0,9449.211829,0,2428.272,84989.52,0,42048,0,0,0,4620.174254,540959.5947,20931.02043,,
,,,,,,,,,,,,,,,
549470.9964,0,16801.81774,0,2428.272,84989.52,0,41172,0,0,0,8634.22653,529592.9365,29400.32656,,
,,,,,,,,,,,,,,,
551496.0281,0,27830.72661,0,2428.272,84989.52,0,40296,0,0,0,13852.49449,513345.7597,40410.42453,,
,,,,,,,,,,,,,,,
497607.6663,0,44374.08992,0,2428.272,84989.52,0,39420,0,0,0,20636.24284,542629.0122,54723.55189,,
,,,,,,,,,,,,,,,
450339.3034,0,69189.13488,0,2428.272,84989.52,0,38544,0,0,0,29455.11569,550691.5214,73330.61745,,
,,,,,,,,,,,,,,,
404246.7458,0,106411.7023,0,2428.272,84989.52,0,37668,0,0,0,40919.65039,536942.9214,97519.80269,,
,,,,,,,,,,,,,,,
353555.1881,0,162245.5535,0,2428.272,84989.52,0,36792,0,0,0,55823.54551,498485.9217,128965.7435,,
,,,,,,,,,,,,,,,
299610.9244,0,245996.3302,0,2428.272,84989.52,0,35916,0,0,0,75198.60916,421459.7516,169845.4665,,
,,,,,,,,,,,,,,,
0,0,369764.3829,0,2452.8,85848,0,70080,0,0,0,99884.26095,321429.3994,398145.1605,,
,,,,,,,,,,,,,,,
0,0,369764.3829,0,2452.8,84989.52,0,63072,0,0,0,104995.7621,318860.8059,410536.6179,,
,,,,,,,,,,,,,,,
0,0,369764.3829,0,2452.8,84989.52,0,56064,0,0,0,109824.12,316434.4953,422210.4555,,
,,,,,,,,,,,,,,,
0,0,369764.3829,0,2452.8,84989.52,0,49056,0,0,0,109824.12,314516.9305,438203.9053,,
,,,,,,,,,,,,,,,
0,0,369764.3829,0,2452.8,84989.52,0,42048,0,0,0,109824.12,312599.3657,454197.3551,,
,,,,,,,,,,,,,,,
0,0,369764.3829,0,2452.8,84989.52,0,35040,0,0,0,109824.12,310681.8009,470190.8049,,
,,,,,,,,,,,,,,,
0,0,369764.3829,0,2452.8,84989.52,0,28032,0,0,0,109824.12,308764.2361,486184.2547,,
,,,,,,,,,,,,,,,
0,0,369764.3829,0,2452.8,84989.52,0,21024,0,0,0,109824.12,306846.6713,502177.7045,,
,,,,,,,,,,,,,,,
0,0,369764.3829,0,2452.8,84989.52,0,14016,0,0,0,109824.12,304929.1065,518171.1543,,
,,,,,,,,,,,,,,,
0,0,369764.3829,0,2452.8,84989.52,0,7008,0,0,0,109824.12,303011.5416,534164.6041,,
,,,,,,,,,,,,,,,
0,0,369764.3829,0,2452.8,84989.52,0,0,0,0,0,109824.12,301093.9768,550158.0539,,
,,,,,,,,,,,,,,,
0,0,369764.3829,0,2452.8,84989.52,0,0,0,0,0,109824.12,299419.6477,558900.268,,
,,,,,,,,,,,,,,,
0,0,369764.3829,0,2452.8,84989.52,0,0,0,0,0,109824.12,297745.3186,567642.4821,,
,,,,,,,,,,,,,,,
0,0,369764.3829,0,2452.8,84989.52,0,0,0,0,0,109824.12,296070.9895,576384.6962,,
,,,,,,,,,,,,,,,
0,0,369764.3829,0,2452.8,84989.52,0,0,0,0,0,109824.12,294396.6604,585126.9103,,
,,,,,,,,,,,,,,,
0,0,368491.1314,0,2452.8,84989.52,0,0,0,0,0,109824.12,293010.5154,594854.1918,,
,,,,,,,,,,,,,,,
0,0,365239.6457,0,2452.8,84989.52,0,0,0,0,0,109824.12,292072.1181,606111.9597,,
,,,,,,,,,,,,,,,
0,0,360362.4171,0,2452.8,84989.52,0,0,0,0,0,109824.12,291501.6868,618627.5046,,
,,,,,,,,,,,,,,,
0,0,353046.5742,0,2452.8,84989.52,0,0,0,0,0,109824.12,291483.2044,633029.7149,,
,,,,,,,,,,,,,,,
0,0,345068.5787,0,2452.8,84989.52,0,0,0,0,0,109824.12,291614.5917,647944.2081,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
